technique_id,technique_name,tactics,platforms,is_subtechnique
T1547.002,Authentication Package,Persistence|Privilege Escalation,Windows,true
T1547.003,Time Providers,Persistence|Privilege Escalation,Windows,true
T1547.004,Winlogon Helper DLL,Persistence|Privilege Escalation,Windows,true
T1547.005,Security Support Provider,Persistence|Privilege Escalation,Windows,true
T1547.006,Kernel Modules and Extensions,Persistence|Privilege Escalation,macOS|Linux,true
T1547.007,Re-opened Applications,Persistence|Privilege Escalation,macOS,true
T1547.008,LSASS Driver,Persistence|Privilege Escalation,Windows,true
T1547.009,Shortcut Modification,Persistence|Privilege Escalation,Windows,true
T1547.010,Port Monitors,Persistence|Privilege Escalation,Windows,true
T1547.012,Print Processors,Persistence|Privilege Escalation,Windows,true
T1547.013,XDG Autostart Entries,Persistence|Privilege Escalation,Linux,true
T1547.014,Active Setup,Persistence|Privilege Escalation,Windows,true
T1547.015,Login Items,Persistence|Privilege Escalation,macOS,true
T1548,Abuse Elevation Control Mechanism,Privilege Escalation,Linux|macOS|Windows|IaaS|Office Suite|Identity Provider,false
T1548.001,Setuid and Setgid,Privilege Escalation,Linux|macOS,true
T1548.002,Bypass User Account Control,Privilege Escalation,Windows,true
T1548.003,Sudo and Sudo Caching,Privilege Escalation,Linux|macOS,true
T1548.004,Elevated Execution with Prompt,Privilege Escalation,macOS,true
T1548.005,Temporary Elevated Cloud Access,Privilege Escalation,IaaS|Office Suite|Identity Provider,true
T1548.006,TCC Manipulation,Privilege Escalation,macOS,true
T1550,Use Alternate Authentication Material,Lateral Movement,Containers|IaaS|Identity Provider|Linux|Office Suite|SaaS|Windows,false
T1550.001,Application Access Token,Lateral Movement,Containers|IaaS|Identity Provider|Office Suite|SaaS,true
T1550.002,Pass the Hash,Lateral Movement,Windows,true
T1550.003,Pass the Ticket,Lateral Movement,Windows,true
T1550.004,Web Session Cookie,Lateral Movement,IaaS|Office Suite|SaaS,true
T1552,Unsecured Credentials,Credential Access,Windows|SaaS|IaaS|Linux|macOS|Containers|Network Devices|Office Suite|Identity Provider,false
T1552.001,Credentials In Files,Credential Access,Containers|IaaS|Linux|macOS|Windows,true
T1552.002,Credentials in Registry,Credential Access,Windows,true
T1552.003,Shell History,Credential Access,Linux|macOS|Windows,true
T1552.004,Private Keys,Credential Access,Linux|macOS|Network Devices|Windows,true
T1552.005,Cloud Instance Metadata API,Credential Access,IaaS,true
T1552.006,Group Policy Preferences,Credential Access,Windows,true
T1552.007,Container API,Credential Access,Containers,true
T1552.008,Chat Messages,Credential Access,SaaS|Office Suite,true
T1553,Subvert Trust Controls,Defense Impairment,Linux|macOS|Windows,false
T1553.001,Gatekeeper Bypass,Defense Impairment,macOS,true
T1553.002,Code Signing,Defense Impairment,macOS|Windows,true
T1553.003,SIP and Trust Provider Hijacking,Defense Impairment,Windows,true
T1553.004,Install Root Certificate,Defense Impairment,Linux|macOS|Windows,true
T1553.005,Mark-of-the-Web Bypass,Defense Impairment,Windows,true
T1553.006,Code Signing Policy Modification,Defense Impairment,macOS|Windows,true
T1554,Compromise Host Software Binary,Persistence,ESXi|Linux|macOS|Windows,false
T1555,Credentials from Password Stores,Credential Access,IaaS|Linux|macOS|Windows,false
T1555.001,Keychain,Credential Access,macOS,true
T1555.002,Securityd Memory,Credential Access,Linux|macOS,true
T1555.003,Credentials from Web Browsers,Credential Access,Linux|macOS|Windows,true
T1555.004,Windows Credential Manager,Credential Access,Windows,true
T1555.005,Password Managers,Credential Access,Linux|macOS|Windows,true
T1555.006,Cloud Secrets Management Stores,Credential Access,IaaS,true
T1556,Modify Authentication Process,Defense Impairment|Persistence|Credential Access,IaaS|Identity Provider|Linux|macOS|Network Devices|Office Suite|SaaS|Windows,false
T1556.001,Domain Controller Authentication,Defense Impairment|Persistence|Credential Access,Windows,true
T1556.002,Password Filter DLL,Defense Impairment|Persistence|Credential Access,Windows,true
T1556.003,Pluggable Authentication Modules,Defense Impairment|Persistence|Credential Access,Linux|macOS,true
T1556.004,Network Device Authentication,Defense Impairment|Persistence|Credential Access,Network Devices,true
T1556.005,Reversible Encryption,Defense Impairment|Persistence|Credential Access,Windows,true
T1556.006,Multi-Factor Authentication,Defense Impairment|Persistence|Credential Access,IaaS|Identity Provider|Linux|macOS|Office Suite|SaaS|Windows,true
T1556.007,Hybrid Identity,Defense Impairment|Persistence|Credential Access,IaaS|Identity Provider|Office Suite|SaaS|Windows,true
T1556.008,Network Provider DLL,Defense Impairment|Persistence|Credential Access,Windows,true
T1556.009,Conditional Access Policies,Defense Impairment|Persistence|Credential Access,IaaS|Identity Provider,true
T1557,Adversary-in-the-Middle,Credential Access|Collection,Linux|macOS|Network Devices|Windows,false
T1557.001,Name Resolution Poisoning and SMB Relay,Credential Access|Collection,Windows,true
T1557.002,ARP Cache Poisoning,Credential Access|Collection,Linux|Windows|macOS,true
T1557.003,DHCP Spoofing,Credential Access|Collection,Linux|Windows|macOS,true
T1557.004,Evil Twin,Credential Access|Collection,Network Devices,true
T1558,Steal or Forge Kerberos Tickets,Credential Access,Linux|macOS|Windows,false
T1558.001,Golden Ticket,Credential Access,Windows,true
T1558.002,Silver Ticket,Credential Access,Windows,true
T1558.003,Kerberoasting,Credential Access,Windows,true
T1558.004,AS-REP Roasting,Credential Access,Windows,true
T1558.005,Ccache Files,Credential Access,Linux|macOS,true
T1559,Inter-Process Communication,Execution,Linux|macOS|Windows,false
T1559.001,Component Object Model,Execution,Windows,true
T1559.002,Dynamic Data Exchange,Execution,Windows,true
T1559.003,XPC Services,Execution,macOS,true
T1560,Archive Collected Data,Collection,Linux|macOS|Windows,false
T1560.001,Archive via Utility,Collection,Linux|macOS|Windows,true
T1560.002,Archive via Library,Collection,Linux|macOS|Windows,true
T1560.003,Archive via Custom Method,Collection,Linux|macOS|Windows,true
T1561,Disk Wipe,Impact,Linux|macOS|Windows|Network Devices,false
T1561.001,Disk Content Wipe,Impact,Linux|macOS|Network Devices|Windows,true
T1561.002,Disk Structure Wipe,Impact,Linux|macOS|Network Devices|Windows,true
T1563,Remote Service Session Hijacking,Lateral Movement,Linux|macOS|Windows,false
T1563.001,SSH Hijacking,Lateral Movement,Linux|macOS,true
T1563.002,RDP Hijacking,Lateral Movement,Windows,true
T1564,Hide Artifacts,Stealth,ESXi|Linux|macOS|Office Suite|Windows,false
T1564.001,Hidden Files and Directories,Stealth,Linux|macOS|Windows,true
T1564.002,Hidden Users,Stealth,Linux|macOS|Windows,true
T1564.003,Hidden Window,Stealth,Linux|macOS|Windows,true
T1564.004,NTFS File Attributes,Stealth,Windows,true
T1564.005,Hidden File System,Stealth,Linux|macOS|Windows,true
T1564.006,Run Virtual Instance,Stealth,ESXi|Linux|macOS|Windows,true
T1564.007,VBA Stomping,Stealth,Linux|macOS|Windows,true
T1564.008,Email Hiding Rules,Stealth,Windows|Linux|macOS|Office Suite,true
T1564.009,Resource Forking,Stealth,macOS,true
T1564.010,Process Argument Spoofing,Stealth,Windows,true
T1564.011,Ignore Process Interrupts,Stealth,Linux|macOS|Windows,true
T1564.012,File/Path Exclusions,Stealth,Linux|macOS|Windows,true
T1564.013,Bind Mounts,Stealth,Linux,true
T1564.014,Extended Attributes,Stealth,Linux|macOS,true
T1565,Data Manipulation,Impact,Linux|macOS|Windows,false
T1565.001,Stored Data Manipulation,Impact,Linux|macOS|Windows,true
T1565.002,Transmitted Data Manipulation,Impact,Linux|macOS|Windows,true
T1565.003,Runtime Data Manipulation,Impact,Linux|macOS|Windows,true
T1566,Phishing,Initial Access,Identity Provider|Linux|macOS|Office Suite|SaaS|Windows,false
T1566.001,Spearphishing Attachment,Initial Access,Linux|macOS|Windows,true
T1566.002,Spearphishing Link,Initial Access,Identity Provider|Linux|macOS|Office Suite|SaaS|Windows,true
T1566.003,Spearphishing via Service,Initial Access,Linux|macOS|Windows,true
T1566.004,Spearphishing Voice,Initial Access,Linux|macOS|Windows|Identity Provider,true
T1567,Exfiltration Over Web Service,Exfiltration,ESXi|Linux|macOS|Office Suite|SaaS|Windows,false
T1567.001,Exfiltration to Code Repository,Exfiltration,ESXi|Linux|macOS|Windows,true
T1567.002,Exfiltration to Cloud Storage,Exfiltration,ESXi|Linux|macOS|Windows,true
T1567.003,Exfiltration to Text Storage Sites,Exfiltration,Linux|macOS|Windows|ESXi,true
T1567.004,Exfiltration Over Webhook,Exfiltration,ESXi|Linux|macOS|Office Suite|SaaS|Windows,true
T1568,Dynamic Resolution,Command And Control,ESXi|Linux|macOS|Windows,false
T1568.001,Fast Flux DNS,Command And Control,Linux|macOS|Windows|ESXi,true
T1568.002,Domain Generation Algorithms,Command And Control,ESXi|Linux|macOS|Windows,true
T1568.003,DNS Calculation,Command And Control,ESXi|Linux|macOS|Windows,true
T1569,System Services,Execution,Windows|macOS|Linux,false
T1569.001,Launchctl,Execution,macOS,true
T1569.002,Service Execution,Execution,Windows,true
T1569.003,Systemctl,Execution,Linux,true
T1570,Lateral Tool Transfer,Lateral Movement,ESXi|Linux|macOS|Windows,false
T1571,Non-Standard Port,Command And Control,ESXi|Linux|macOS|Windows,false
T1572,Protocol Tunneling,Command And Control,ESXi|Linux|macOS|Windows,false
T1573,Encrypted Channel,Command And Control,ESXi|Linux|macOS|Network Devices|Windows,false
T1573.001,Symmetric Cryptography,Command And Control,ESXi|Linux|macOS|Network Devices|Windows,true
T1573.002,Asymmetric Cryptography,Command And Control,ESXi|Linux|macOS|Network Devices|Windows,true
T1574,Hijack Execution Flow,Stealth|Execution,Linux|macOS|Windows,false
T1574.001,DLL,Stealth|Execution,Windows,true
T1574.004,Dylib Hijacking,Stealth|Execution,macOS,true
T1574.005,Executable Installer File Permissions Weakness,Stealth|Execution,Windows,true
T1574.006,Dynamic Linker Hijacking,Stealth|Execution,Linux|macOS,true
T1574.007,Path Interception by PATH Environment Variable,Stealth|Execution,Linux|macOS|Windows,true
T1574.008,Path Interception by Search Order Hijacking,Stealth|Execution,Windows,true
T1574.009,Path Interception by Unquoted Path,Stealth|Execution,Windows,true
T1574.010,Services File Permissions Weakness,Stealth|Execution,Windows,true
T1574.011,Services Registry Permissions Weakness,Stealth|Execution,Windows,true
T1574.012,COR_PROFILER,Stealth|Execution,Windows,true
T1574.013,KernelCallbackTable,Stealth|Execution,Windows,true
T1574.014,AppDomainManager,Stealth|Execution,Windows,true
T1578,Modify Cloud Compute Infrastructure,Defense Impairment,IaaS,false
T1578.001,Create Snapshot,Defense Impairment,IaaS,true
T1578.002,Create Cloud Instance,Defense Impairment,IaaS,true
T1578.003,Delete Cloud Instance,Defense Impairment,IaaS,true
T1578.004,Revert Cloud Instance,Defense Impairment,IaaS,true
T1578.005,Modify Cloud Compute Configurations,Defense Impairment,IaaS,true
T1580,Cloud Infrastructure Discovery,Discovery,IaaS,false
T1583,Acquire Infrastructure,Resource Development,PRE,false
T1583.001,Domains,Resource Development,PRE,true
T1583.002,DNS Server,Resource Development,PRE,true
T1583.003,Virtual Private Server,Resource Development,PRE,true
T1583.004,Server,Resource Development,PRE,true
T1583.005,Botnet,Resource Development,PRE,true
T1583.006,Web Services,Resource Development,PRE,true
T1583.007,Serverless,Resource Development,PRE,true
T1583.008,Malvertising,Resource Development,PRE,true
T1584,Compromise Infrastructure,Resource Development,PRE,false
T1584.001,Domains,Resource Development,PRE,true
T1584.002,DNS Server,Resource Development,PRE,true
T1584.003,Virtual Private Server,Resource Development,PRE,true
T1584.004,Server,Resource Development,PRE,true
T1584.005,Botnet,Resource Development,PRE,true
T1584.006,Web Services,Resource Development,PRE,true
T1584.007,Serverless,Resource Development,PRE,true
T1584.008,Network Devices,Resource Development,PRE,true
T1585,Establish Accounts,Resource Development,PRE,false
T1585.001,Social Media Accounts,Resource Development,PRE,true
T1585.002,Email Accounts,Resource Development,PRE,true
T1585.003,Cloud Accounts,Resource Development,PRE,true
T1586,Compromise Accounts,Resource Development,PRE,false
T1586.001,Social Media Accounts,Resource Development,PRE,true
T1586.002,Email Accounts,Resource Development,PRE,true
T1586.003,Cloud Accounts,Resource Development,PRE,true
T1587,Develop Capabilities,Resource Development,PRE,false
T1587.001,Malware,Resource Development,PRE,true
T1587.002,Code Signing Certificates,Resource Development,PRE,true
T1587.003,Digital Certificates,Resource Development,PRE,true
T1587.004,Exploits,Resource Development,PRE,true
T1588,Obtain Capabilities,Resource Development,PRE,false
T1588.001,Malware,Resource Development,PRE,true
T1588.002,Tool,Resource Development,PRE,true
T1588.003,Code Signing Certificates,Resource Development,PRE,true
T1588.004,Digital Certificates,Resource Development,PRE,true
T1588.005,Exploits,Resource Development,PRE,true
T1588.006,Vulnerabilities,Resource Development,PRE,true
T1588.007,Artificial Intelligence,Resource Development,PRE,true
T1589,Gather Victim Identity Information,Reconnaissance,PRE,false
T1589.001,Credentials,Reconnaissance,PRE,true
T1589.002,Email Addresses,Reconnaissance,PRE,true
T1589.003,Employee Names,Reconnaissance,PRE,true
T1590,Gather Victim Network Information,Reconnaissance,PRE,false
T1590.001,Domain Properties,Reconnaissance,PRE,true
T1590.002,DNS,Reconnaissance,PRE,true
T1590.003,Network Trust Dependencies,Reconnaissance,PRE,true
T1590.004,Network Topology,Reconnaissance,PRE,true
T1590.005,IP Addresses,Reconnaissance,PRE,true
T1590.006,Network Security Appliances,Reconnaissance,PRE,true
T1591,Gather Victim Org Information,Reconnaissance,PRE,false
T1591.001,Determine Physical Locations,Reconnaissance,PRE,true
T1591.002,Business Relationships,Reconnaissance,PRE,true
T1591.003,Identify Business Tempo,Reconnaissance,PRE,true
T1591.004,Identify Roles,Reconnaissance,PRE,true
T1592,Gather Victim Host Information,Reconnaissance,PRE,false
T1592.001,Hardware,Reconnaissance,PRE,true
T1592.002,Software,Reconnaissance,PRE,true
T1592.003,Firmware,Reconnaissance,PRE,true
T1592.004,Client Configurations,Reconnaissance,PRE,true
T1593,Search Open Websites/Domains,Reconnaissance,PRE,false
T1593.001,Social Media,Reconnaissance,PRE,true
T1593.002,Search Engines,Reconnaissance,PRE,true
T1593.003,Code Repositories,Reconnaissance,PRE,true
T1594,Search Victim-Owned Websites,Reconnaissance,PRE,false
T1595,Active Scanning,Reconnaissance,PRE,false
T1595.001,Scanning IP Blocks,Reconnaissance,PRE,true
T1595.002,Vulnerability Scanning,Reconnaissance,PRE,true
T1595.003,Wordlist Scanning,Reconnaissance,PRE,true
T1596,Search Open Technical Databases,Reconnaissance,PRE,false
T1596.001,DNS/Passive DNS,Reconnaissance,PRE,true
T1596.002,WHOIS,Reconnaissance,PRE,true
T1596.003,Digital Certificates,Reconnaissance,PRE,true
T1596.004,CDNs,Reconnaissance,PRE,true
T1596.005,Scan Databases,Reconnaissance,PRE,true
T1597,Search Closed Sources,Reconnaissance,PRE,false
T1597.001,Threat Intel Vendors,Reconnaissance,PRE,true
T1597.002,Purchase Technical Data,Reconnaissance,PRE,true
T1598,Phishing for Information,Reconnaissance,PRE,false
T1598.001,Spearphishing Service,Reconnaissance,PRE,true
T1598.002,Spearphishing Attachment,Reconnaissance,PRE,true
T1598.003,Spearphishing Link,Reconnaissance,PRE,true
T1598.004,Spearphishing Voice,Reconnaissance,PRE,true
T1599,Network Boundary Bridging,Defense Impairment,Network Devices,false
T1599.001,Network Address Translation Traversal,Defense Impairment,Network Devices,true
T1600,Weaken Encryption,Defense Impairment,Network Devices,false
T1600.001,Reduce Key Space,Defense Impairment,Network Devices,true
T1600.002,Disable Crypto Hardware,Defense Impairment,Network Devices,true
T1601,Modify System Image,Defense Impairment,Network Devices,false
T1601.001,Patch System Image,Defense Impairment,Network Devices,true
T1601.002,Downgrade System Image,Defense Impairment,Network Devices,true
T1602,Data from Configuration Repository,Collection,Network Devices,false
T1602.001,SNMP (MIB Dump),Collection,Network Devices,true
T1602.002,Network Device Configuration Dump,Collection,Network Devices,true
T1606,Forge Web Credentials,Credential Access,SaaS|Windows|macOS|Linux|IaaS|Office Suite|Identity Provider,false
T1606.001,Web Cookies,Credential Access,Linux|macOS|Windows|SaaS|IaaS,true
T1606.002,SAML Tokens,Credential Access,SaaS|Windows|IaaS|Office Suite|Identity Provider,true
T1608,Stage Capabilities,Resource Development,PRE,false
T1608.001,Upload Malware,Resource Development,PRE,true
T1608.002,Upload Tool,Resource Development,PRE,true
T1608.003,Install Digital Certificate,Resource Development,PRE,true
T1608.004,Drive-by Target,Resource Development,PRE,true
T1608.005,Link Target,Resource Development,PRE,true
T1608.006,SEO Poisoning,Resource Development,PRE,true
T1609,Container Administration Command,Execution,Containers,false
T1610,Deploy Container,Execution,Containers,false
T1611,Escape to Host,Privilege Escalation,Windows|Linux|Containers|ESXi,false
T1612,Build Image on Host,Stealth,Containers,false
T1613,Container and Resource Discovery,Discovery,Containers,false
T1614,System Location Discovery,Discovery,IaaS|Linux|macOS|Windows,false
T1614.001,System Language Discovery,Discovery,Linux|macOS|Windows,true
T1615,Group Policy Discovery,Discovery,Windows,false
T1619,Cloud Storage Object Discovery,Discovery,IaaS,false
T1620,Reflective Code Loading,Stealth,Linux|macOS|Windows,false
T1621,Multi-Factor Authentication Request Generation,Credential Access,Windows|Linux|macOS|IaaS|SaaS|Office Suite|Identity Provider,false
T1622,Debugger Evasion,Stealth|Discovery,Linux|macOS|Windows,false
T1647,Plist File Modification,Defense Impairment,macOS,false
T1648,Serverless Execution,Execution,SaaS|IaaS|Office Suite,false
T1649,Steal or Forge Authentication Certificates,Credential Access,Windows|Linux|macOS|Identity Provider,false
T1650,Acquire Access,Resource Development,PRE,false
T1651,Cloud Administration Command,Execution,IaaS,false
T1652,Device Driver Discovery,Discovery,Linux|macOS|Windows,false
T1653,Power Settings,Persistence,Windows|Linux|macOS|Network Devices,false
T1654,Log Enumeration,Discovery,ESXi|IaaS|Linux|macOS|Windows,false
T1657,Financial Theft,Impact,Linux|macOS|Office Suite|SaaS|Windows,false
T1659,Content Injection,Initial Access|Command And Control,Linux|macOS|Windows,false
T1665,Hide Infrastructure,Command And Control,ESXi|Linux|macOS|Network Devices|Windows,false
T1666,Modify Cloud Resource Hierarchy,Defense Impairment,IaaS,false
T1667,Email Bombing,Impact,Linux|Office Suite|Windows|macOS,false
T1668,Exclusive Control,Persistence,Linux|macOS|Windows,false
T1669,Wi-Fi Networks,Initial Access,Linux|Network Devices|Windows|macOS,false
T1671,Cloud Application Integration,Persistence,Office Suite|SaaS,false
T1673,Virtual Machine Discovery,Discovery,ESXi|Linux|macOS|Windows,false
T1674,Input Injection,Execution,Windows|macOS|Linux,false
T1675,ESXi Administration Command,Execution,ESXi,false
T1677,Poisoned Pipeline Execution,Execution,SaaS,false
T1678,Delay Execution,Stealth,Linux|macOS|Windows,false
T1679,Selective Exclusion,Stealth,Windows,false
T1680,Local Storage Discovery,Discovery,ESXi|IaaS|Linux|macOS|Windows,false
T1681,Search Threat Vendor Data,Reconnaissance,PRE,false
T1682,Query Public AI Services,Reconnaissance,PRE,false
T1683,Generate Content,Resource Development,PRE,false
T1683.001,Written Content,Resource Development,PRE,true
T1683.002,Audio-Visual Content,Resource Development,PRE,true
T1684,Social Engineering,Stealth,Linux|macOS|Office Suite|SaaS|Windows,false
T1684.001,Impersonation,Stealth,Linux|macOS|Office Suite|SaaS|Windows,true
T1684.002,Email Spoofing,Stealth,Linux|macOS|Office Suite|Windows,true
T1685,Disable or Modify Tools,Defense Impairment,Containers|ESXi|IaaS|Linux|macOS|Network Devices|Windows,false
T1685.001,Disable or Modify Windows Event Log,Defense Impairment,Windows,true
T1685.002,Disable or Modify Cloud Log,Defense Impairment,IaaS|SaaS|Identity Provider|Office Suite,true
T1685.003,Modify or Spoof Tool UI,Defense Impairment,Linux|macOS|Windows,true
T1685.004,Disable or Modify Linux Audit System Log,Defense Impairment,Linux,true
T1685.005,Clear Windows Event Logs,Defense Impairment,Windows,true
T1685.006,Clear Linux or Mac System Logs,Defense Impairment,Linux|macOS,true
T1686,Disable or Modify System Firewall,Defense Impairment,ESXi|Linux|macOS|Network Devices|Windows,false
T1686.001,Cloud Firewall,Defense Impairment,IaaS,true
T1686.002,Network Device Firewall,Defense Impairment,Network Devices,true
T1686.003,Windows Host Firewall,Defense Impairment,Windows,true
T1687,Exploitation for Defense Impairment,Defense Impairment,IaaS|Linux|macOS|SaaS|Windows,false
T1688,Safe Mode Boot,Defense Impairment,Windows,false
T1689,Downgrade Attack,Defense Impairment,macOS|Windows|Linux,false
T1690,Prevent Command History Logging,Defense Impairment,ESXi|Linux|macOS|Network Devices|Windows,false
